codigo,tipo,instrumento_controlado,finalidade
MDS-CQ-001,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-002,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-021,Máquina de solda analógica,TRUE,maquina de solda
MDS-CQ-003,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-004,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-006,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-007,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-008,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-009,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-010,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-011,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-012,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-013,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-014,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-015,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-016,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-017,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-018,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-020,Máquina de solda analógica,TRUE,maquina de solda
MDS-CQ-022,Máquina de solda analógica,TRUE,maquina de solda
MDS-CQ-023,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-024,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-026,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-027,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-029,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-030,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-031,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-032,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-033,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-016,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-017,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-018,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-019,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-020,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-021,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-022,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-023,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-024,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-025,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-026,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-027,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-028,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-029,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-030,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-031,Máquina de solda digital,TRUE,maquina de solda
MDS-AL-032,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-025,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-005,Máquina de solda digital,TRUE,maquina de solda
MDS-CQ-035,Máquina de solda analógica,TRUE,maquina de solda
MDS-CQ-034,Máquina de solda analógica,TRUE,maquina de solda
MDS-CQ-036,Máquina de solda laser,TRUE,maquina de solda
MDS-CQ-037,Máquina de solda laser,TRUE,maquina de solda
MDS-AL-010,Máquina de solda analógica,TRUE,maquina de solda
